order_id,product_id,order_item_id,price,freight_value,seller_profit,distance,order_approved_at,seller_id
1efcc6ba75b519535a510c53153a9256,e94df75b2e9a8b056be0c144a731f55c,1,94.2,18.76,75.44,357.30637630404794,2018-06-20 22:20:21,2c43fb513632d29b3b58df74816f1b06
d8d281c1a1398a1e835fdc4adfb81e2a,9e0873e9ac04b12f282b81af5daebd2e,1,664.0,38.41,625.59,422.5904611011316,2018-07-24 10:31:11,2c43fb513632d29b3b58df74816f1b06
9dfd8df84d4f07cc8da0f2fa0fe96075,ba74c6b75d2ad7503175809688d5a03c,1,178.99,8.99,170.0,4.710751404714601,2018-07-20 04:43:20,7d13fca15225358621be4086e1eb0964
931ca162115da049cd8d7872b3667163,e8f487b9cb03fdb7daf2505822570853,1,68.0,14.06,53.94,382.665307665435,2018-08-25 08:50:12,8a432f4e5b471f8da497d7dc517666e2
e8f4435c1db6d7bf9e191fd9bd6a6682,38f2d4b26820d63dc2675d6fbfafe1bb,1,32.89,12.89,20.0,247.32733905911834,2018-06-20 19:58:06,4c1c7281388a33dd06daac44f9fadbd1
e5858127da61f07285827883e605254b,9bb2d066e4b33b624cbdfec7d50b3dcb,1,99.8,15.0,84.8,386.18025328790816,2018-06-21 16:00:04,2c43fb513632d29b3b58df74816f1b06
99907bf137138e8a41986fc842736a37,94c6a83ab9e528e35fbe815ad5a05905,1,59.0,19.32,39.68,1334.585470650588,2018-08-13 11:50:20,1d953075c2f0dd990bacf27b83b330f1
ac4cac02127ebb55852c9b87cf67d58d,1fb586196a6ef3b8ac6e33b0fd7ddc6c,1,44.0,18.41,25.59,1043.8104449668097,2018-08-10 09:30:19,01fd077212124329bac32490e8ef80d9
0475d054d40280dfba750663c9ad7a0a,a86859b91d632c991b914aead6ec8ad4,1,49.9,13.69,36.21,111.40778163110208,2018-07-24 17:35:18,612170e34b97004b3ba37eae81836b4c
fba03bf5e3db2585caab95fb6ef71c45,c5f91783ab6cb187c7182b8e4b8c9047,1,159.0,23.69,135.31,613.5833965626069,2018-04-24 18:59:06,ffa6adafb71b807dc13159e26431354c
3550480abae8b6120d0c8d5ca9bbbdfd,7a8dfec813ae58cfaa3e1ef9f534adab,1,36.5,22.93,13.57,767.9772522224391,2018-05-10 08:55:48,4c18691b6037662be2df78a765d98ab5
05104976125ea1e5cc04bc1f506a436a,63bfa27a0cee21fd896dc27f58b6d656,1,198.9,18.32,180.58,1059.3906651715643,2018-08-15 22:44:03,612170e34b97004b3ba37eae81836b4c
05f8021cf7217f1990addecad0e24b7a,d670c0f6be30a062ebd8f8612ea82d71,1,178.9,19.35,159.55,884.8357557764625,2018-08-10 21:04:25,612170e34b97004b3ba37eae81836b4c
fbcf01552e675bbadc8d4091206f76f5,2a27bdf5d36c733df107a86e44370254,1,49.9,18.23,31.669999999999998,243.8432429940977,2018-05-03 22:13:13,382229d1e840115ffe3dbf5ff460e417
087f003cb486254f7454eead9265e992,22a8168cf1f1c6347da8d29863b7f75e,1,298.5,17.76,280.74,1519.0404374291304,2018-06-22 12:20:27,612170e34b97004b3ba37eae81836b4c
4199a7bc1c9f1b2df2a5fd055fce1e5d,0ddb2f7b7b817ea4239bfab24f67f742,1,229.0,21.87,207.13,1519.0404374291304,2018-07-30 19:31:43,612170e34b97004b3ba37eae81836b4c
0d33a1e4f7c4426e2adf540cb219baef,c98fcf63f668fa08d0da5584888d6e4b,1,248.0,19.54,228.46,741.5061050220459,2018-06-24 18:15:03,f46490624488d3ff7ce78613913a7711
0be098c4a208559b0e6c96c3254481a7,22a8168cf1f1c6347da8d29863b7f75e,1,298.5,17.19,281.31,855.0493130968134,2018-06-22 10:36:06,612170e34b97004b3ba37eae81836b4c
a1dd8c3d72d95a11312293743c4064a6,55f166570845e0a7b4456edac9c420b7,1,49.9,8.88,41.019999999999996,85.8444190804587,2018-05-28 15:35:11,2646baaf662d4d92ac48f047e35db92d
