,seller_id,seller_state,first_order,last_order,sale_days,total_profit,mean_profit,mean_distance,registration_days,registration_quarter
0,0015a82c2db000af6aaaf3ae2ecb0532,SP,2017-09-27,2017-10-18,22,2621.94,119.17909090909092,605.1795678872768,340,17_3
1,001cca7ae9ae17fb1caed9dfb1094831,ES,2017-02-04,2018-07-12,524,16225.89,30.965438931297708,811.4271365808077,575,17_1
2,001e6ad469a905060d959994f1b41e4f,RJ,2018-08-07,2018-08-07,1,232.06,232.06,394.1342188595974,26,18_3
3,002100f778ceb8431b7a1020ff7ab48f,SP,2017-09-14,2018-04-12,211,440.84,2.0892890995260665,524.1233667799881,354,17_3
4,003554e2dce176b5555353e4f3555ac8,GO,2017-12-15,2017-12-15,1,100.62,100.62,938.490904542319,262,17_4
5,004c9cd9d87a3c30c522c48c4fc07416,SP,2017-01-28,2018-05-05,463,16161.48,34.90600431965443,632.8823516589295,583,17_1
6,00720abe85ba0859807595bbf045a33b,SP,2018-01-27,2018-08-03,189,691.52,3.6588359788359783,282.0174395650916,219,18_1
7,00ab3eff1b5192e5f1a63bcecfee11c8,SP,2017-03-18,2017-03-18,1,85.92,85.92,231.8031893865279,534,17_1
8,00d8b143d12632bad99c0ad66ad52825,MG,2018-03-21,2018-03-21,1,34.9,34.9,1623.3738250058127,166,18_1
9,00ee68308b45bc5e2660cd833c3f81cc,SP,2017-09-19,2018-08-20,336,17079.34,50.83136904761905,250.17869320137223,349,17_3
10,00fc707aaaad2d31347cf883cd2dfe10,PR,2018-01-31,2018-06-13,134,10399.81,77.61052238805969,701.1857507400346,215,18_1
11,010543a62bd80aa422851e79a3bc7540,SP,2017-07-05,2017-08-02,28,1384.05,49.43035714285714,219.87110421681135,424,17_3
12,010da0602d7774602cd1b3f5fb7b709e,SP,2018-06-07,2018-06-07,1,619.25,619.25,528.4403579450639,87,18_2
13,011b0eaba87386a2ae96a7d32bb531d1,SP,2016-10-07,2016-10-07,1,70.80000000000001,70.80000000000001,494.0436915974481,696,16_4
14,01266d4c46afa519678d16a8b683d325,PR,2018-08-02,2018-08-21,19,43.02,2.264210526315789,366.1889484648575,32,18_3
15,013900e863eace745d3ec7614cab5b1a,PR,2017-03-04,2018-04-13,406,1150.03,2.8325862068965515,779.9825821252966,548,17_1
16,014c0679dd340a0e338872e7ec85666a,MG,2017-01-26,2018-07-05,526,6276.41,11.932338403041824,759.6354293170326,585,17_1
17,014d9a685fd57276679edd00e07089e5,PR,2017-11-23,2018-08-17,268,582.95,2.1751865671641792,498.4389249635592,284,17_4
18,0176f73cc1195f367f7b32db1e5b3aa8,SP,2017-11-16,2018-08-15,272,3446.09,12.669448529411763,417.2830690847776,290,17_4
19,01bcc9d254a0143f0ce9791b960b2a47,GO,2017-08-15,2018-02-02,172,1243.55,7.229941860465116,981.9477173948668,384,17_3
20,01c97ebb5cdac52891c0ed1c37ba0012,SP,2017-04-14,2018-07-31,474,399.0,0.8417721518987342,626.3353046474822,507,17_2
21,01cf7e3d21494c41fb86034f2e714fa1,PR,2016-10-06,2018-02-27,509,7720.54,15.168055009823185,945.5443820975604,696,16_4
22,01ed254b9ff8407dfb9d99ba1e17d923,SP,2017-08-04,2017-11-08,97,1398.27,14.415154639175258,362.7490508657143,395,17_3
23,01fd077212124329bac32490e8ef80d9,SP,2018-04-16,2018-08-25,131,632.64,4.829312977099237,464.7351100331222,140,18_2
24,01fdefa7697d26ad920e9e0346d4bd1b,PR,2017-04-26,2018-08-20,482,12152.79,25.21325726141079,605.9124440105935,495,17_2
25,0241d4d5d36f10f80c644447315af0bd,PR,2017-10-10,2018-08-29,323,24543.79,75.98696594427246,646.3171781338287,328,17_4
26,0249d282d911d23cb8b869ab49c99f53,SP,2017-09-18,2018-03-22,186,254.12,1.366236559139785,225.6554749496647,349,17_3
27,024b564ae893ce8e9bfa02c10a401ece,SP,2016-10-07,2017-02-12,129,494.4000000000001,3.832558139534884,2261.010182908696,696,16_4
28,028872bfa080090a9d0abd4f1af168f8,MG,2017-08-19,2017-08-19,1,23.130000000000003,23.130000000000003,997.1425139737518,380,17_3
29,02a2272692e13558373c66db98f05e2e,RJ,2017-02-06,2017-03-08,30,16.11,0.537,1566.337365519742,574,17_1
30,02b72cdeb9cfcc429f1af6f4e3f3b737,SP,2018-07-25,2018-08-22,28,296.66,10.595,1263.2191318442365,39,18_3
31,02c988090b766852e088c69d7fb3b551,SP,2017-07-16,2018-08-15,395,1400.35,3.545189873417722,208.39262929350048,414,17_3
32,02d35243ea2e497335cd0f076b45675d,RN,2017-04-30,2018-08-02,459,5188.05,11.302941176470588,1801.8741914287696,490,17_2
33,02dcd3e8e25bee036e32512bcf175493,MG,2017-10-28,2018-08-24,300,1179.73,3.932433333333333,525.7313763723175,310,17_4
34,02ecc2a19303f05e59ce133fd923fff7,SP,2017-06-18,2018-08-23,431,4785.98,11.104361948955916,481.6171324073316,441,17_2
35,02f5837340d7eb4f653d676c7256523a,PR,2017-11-01,2018-08-08,280,3302.22,11.793642857142856,362.03376324555705,305,17_4
36,02f623a8eb246f3c5f7c2f96462654e6,SP,2018-04-25,2018-08-23,120,5548.37,46.23641666666666,471.0670349033135,131,18_2
37,0307f7565ff85b299b6e5ef162b1b1a9,SP,2016-10-10,2017-05-25,227,4454.03,19.621277533039645,632.4477371673339,692,16_4
38,0336182e1b3e92f029d5354832045fdf,SP,2016-10-06,2016-10-06,1,12.23,12.23,218.65621816085616,697,16_4
39,034b9387752bfa309f350a70cd45ffa3,SC,2018-04-11,2018-08-22,134,-48.260000000000005,-0.3601492537313433,464.3304014210029,145,18_2
40,038b75b729c8a9a04b0d07cba7eabe86,SP,2018-04-24,2018-04-24,1,376.15,376.15,1086.1779143618928,131,18_2
41,039b29ff3b3473435d0cd59040575de9,SP,2018-04-26,2018-08-23,119,14.250000000000004,0.1197478991596639,475.6545514700084,130,18_2
42,039e6ad9dae79614493083e241147386,SP,2018-04-03,2018-07-10,99,12576.58,127.03616161616162,730.7222523673072,153,18_2
43,03a2a6dcbe45d639c4dc2a0d24769c40,SP,2018-03-13,2018-08-15,156,906.16,5.808717948717948,594.5225558317717,174,18_1
44,03bd479e1d9484cdb14104d3023f7321,MG,2018-05-09,2018-07-24,76,301.98,3.973421052631579,502.8826457414295,116,18_2
45,0417b067eeab773d2f7061a726dc477f,SC,2018-03-01,2018-08-20,172,1216.61,7.073313953488372,1374.78202472636,185,18_1
46,042573af89b6d931f672efaf789d8358,SP,2018-01-22,2018-02-11,20,348.39,17.4195,196.56774169720325,224,18_1
47,04308b1ee57b6625f47df1d56f00eedf,SC,2017-11-15,2018-08-12,270,57076.21,211.3933703703704,1063.081072812277,292,17_4
48,0432ead42b6c8a0bdf68154add917fdf,SP,2017-04-02,2018-07-28,482,6584.580000000001,13.660954356846474,529.7368092795576,519,17_2
49,044668ccd5316b12a7cf0d54a156e3e9,SP,2018-08-08,2018-08-20,13,84.25,6.480769230769231,569.3897751841508,25,18_3
50,04843805947f0fc584fc1969b6e50fe7,RS,2018-08-05,2018-08-05,1,1325.24,1325.24,831.4590258112245,29,18_3
51,048c2757535328e0d7dac690ad3c0aae,SP,2017-03-04,2018-08-21,536,7797.45,14.547481343283582,949.684399462106,548,17_1
52,04aa0a1c5ce6b222003403a3e11c3cc0,SP,2017-03-23,2018-01-24,308,4696.49,15.248344155844157,1523.3927199580048,529,17_1
53,04aba03279157f6d4e0fe8ccaf21963c,RJ,2017-05-11,2018-08-26,473,2229.4700000000003,4.713467230443976,498.3336750538104,480,17_2
54,04e38a233f726ef161074ab1c9b0399a,SP,2017-09-15,2018-05-05,233,893.13,3.833175965665236,313.39770794780634,353,17_3
55,04ee0ec01589969663ba5967c0e0bdc0,RS,2018-08-21,2018-08-21,1,264.66,264.66,395.006357319977,13,18_3
56,04fdea0c111866e6cf812f1570d6b5bd,SP,2017-10-14,2018-02-01,111,848.05,7.64009009009009,1024.918214692451,324,17_4
57,0509040ea3fe50071181bbc359eb7738,MG,2017-05-03,2018-08-02,456,2292.8,5.028070175438597,567.2035609218751,488,17_2
58,052577151711aec5c744fe12e66db3e1,SC,2017-10-26,2017-12-20,55,2525.58,45.91963636363637,1004.9825830006132,311,17_4
59,054694fa03fe82cec4b7551487331d74,SP,2017-01-07,2018-04-11,459,9262.45,20.17962962962963,666.1911373811872,604,17_1
60,056b4ada5bbc2c50cc7842547dda6b51,RJ,2017-12-01,2018-08-25,267,10949.01,41.00752808988764,622.9705847848229,276,17_4
61,0570350b23eda5444f8d1d9544932058,SP,2018-04-12,2018-05-22,40,502.04,12.551,232.15554182108528,143,18_2
62,05730013efda596306417c3b09302475,SC,2018-07-07,2018-08-24,48,735.3299999999999,15.319375,623.2599002589611,58,18_3
63,058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,2017-09-25,2018-08-14,324,518.51,1.6003395061728394,376.2594398828085,342,17_3
64,058fd0aa2bfdb2274e05e1ae971dabb6,SP,2017-08-04,2018-06-07,308,6780.0,22.01298701298701,482.6657703862132,395,17_3
65,05a48cc8859962767935ab9087417fbb,SP,2018-08-02,2018-08-02,1,26.41,26.41,387.9474642435063,32,18_3
66,05a940b4ecae36cadfd8e93bd9c43257,GO,2017-07-16,2018-02-19,218,755.0600000000001,3.4635779816513765,842.008211965587,414,17_3
67,05aebce0b5c8f0d41b29b686f2d05fd3,SP,2018-03-06,2018-08-14,162,29.1,0.1796296296296296,51.1354234666981,181,18_1
68,05ca864204d09595ae591b93ea9cf93d,SP,2018-08-17,2018-08-17,1,171.38,171.38,19.44664814551674,17,18_3
69,05d2173d43ea568aa0540eba70d2ca76,MG,2017-09-27,2018-08-14,321,4080.39,12.711495327102805,480.3607734235521,341,17_3
70,05e107217c7266362fd44b75b2cd4cc4,SP,2018-06-29,2018-08-23,55,111.37,2.024909090909091,390.0725911014214,65,18_2
71,05f51e13da97139648b8125c31e5f51b,MG,2017-07-10,2018-03-23,256,11749.72,45.89734375,566.1824532472218,420,17_3
72,05feb94f19d094d4b0f9281f0b1d4c99,SP,2017-08-15,2018-02-18,188,8655.96,46.04234042553191,1089.14674156925,384,17_3
73,05ff92fedb5be47920fea08e501238b9,RS,2016-10-06,2018-08-07,671,20177.39,30.0706259314456,1315.5380675879665,697,16_4
74,062c325cd6a2b87845fab56b4ec2eeae,SP,2018-05-07,2018-08-01,87,109.36,1.2570114942528736,51.1838219715282,118,18_2
75,062ce95fa2ad4dfaedfc79260130565f,RS,2017-01-26,2017-09-10,227,6261.67,27.584449339207048,755.0554804157513,584,17_1
76,06532f10282704ef4c69168b914b77be,PR,2017-03-04,2017-08-19,168,9522.26,56.68011904761905,1408.0136176435235,548,17_1
77,06579cb253ecd5a3a12a9e6eb6bf8f47,SP,2017-08-03,2018-08-11,374,3227.7900000000004,8.630454545454546,396.4228136168967,395,17_3
78,066a6914e1ebf3ea95a216c73a986b91,PR,2016-10-06,2018-08-10,673,7704.81,11.44845468053492,926.5236177793264,696,16_4
79,0691148aee60ca47977c187804f935ae,PR,2017-11-24,2018-08-27,276,4377.57,15.860760869565215,660.5582392867219,283,17_4
80,0692610d8abe24f287e9fae90ea0bbee,SP,2018-06-02,2018-08-23,82,142.26,1.7348780487804878,14.00894356386274,93,18_2
81,06a2c3af7b3aee5d69171b0e14f0ee87,MA,2018-01-20,2018-08-24,216,24183.1,111.95879629629628,1938.481932977949,226,18_1
82,06bb3a2fe5e7b7a845b13e8fb91bd944,MG,2017-09-12,2018-07-05,297,1210.05,4.074242424242424,495.28549967358,356,17_3
